[0, 9]
[1, 2]
[2, 13]
[3, 7]
[4, 0]
[5, 10]
[6, 20]
[7, 11]
[8, 13]
[9, 14]
[10, 4]
[11, 9]
[12, 22]
[13, 12]
[14, 13]
[15, 22]
[16, 9]
[17, 2]
[18, 11]
[19, 0]
[20, 9]
[21, 12]
[22, 16]
[23, 12]
[24, 1]
[25, 7]
[26, 22]
[27, 12]
[28, 22]
[29, 21]
[30, 18]
[31, 15]
[32, 3]
[33, 10]
[34, 9]
[35, 6]
[36, 4]
[37, 14]
[38, 17]
[39, 21]
[40, 8]
[41, 11]
[42, 14]
[43, 0]
[44, 9]
[45, 21]
[46, 7]
[47, 15]
[48, 8]
[49, 2]
[50, 12]
[51, 11]
[52, 6]
[53, 10]
[54, 2]
[55, 14]
[56, 22]
[57, 9]
[58, 20]
[59, 13]
[60, 9]
[61, 20]
[62, 22]
[63, 11]
[64, 2]
[65, 3]
[66, 4]
[67, 12]
[68, 15]
[69, 1]
[70, 7]
[71, 8]
[72, 1]
[73, 0]
[74, 15]
[75, 10]
[76, 21]
[77, 21]
[78, 4]
[79, 7]
[80, 19]
[81, 3]
[82, 13]
[83, 2]
[84, 19]
[85, 15]
[86, 21]
[87, 15]
[88, 10]
[89, 2]
[90, 11]
[91, 21]
[92, 3]
[93, 15]
[94, 7]
[95, 5]
[96, 3]
[97, 15]
[98, 7]
[99, 15]
[100, 11]
[101, 10]
[102, 15]
[103, 22]
[104, 3]
[105, 7]
[106, 15]
[107, 9]
[108, 22]
[109, 17]
[110, 0]
[111, 12]
[112, 15]
[113, 6]
[114, 1]
[115, 1]
[116, 6]
[117, 14]
[118, 13]
[119, 17]
[120, 16]
[121, 2]
[122, 8]
[123, 3]
[124, 14]
[125, 3]
[126, 16]
[127, 13]
[128, 3]
[129, 16]
[130, 13]
[131, 17]
[132, 7]
[133, 17]
[134, 2]
[135, 13]
[136, 15]
[137, 10]
[138, 20]
[139, 22]
[140, 17]
[141, 21]
[142, 8]
[143, 7]
[144, 14]
[145, 21]
[146, 3]
